,Country.or.Area,Subgroup,Year,Source,Unit,PopValue,Value Footnotes
CHN,China,Total,2011,UN_United Nations Population Division,Thousand,1347565,
IND,India,Total,2011,UN_United Nations Population Division,Thousand,1241492,
USA,United States,Total,2011,UN_United Nations Population Division,Thousand,313085,
IDN,Indonesia,Total,2011,UN_United Nations Population Division,Thousand,242326,
BRA,Brazil,Total,2011,UN_United Nations Population Division,Thousand,196655,
PAK,Pakistan,Total,2011,UN_United Nations Population Division,Thousand,176745,
NGA,Nigeria,Total,2011,UN_United Nations Population Division,Thousand,162471,
BGD,Bangladesh,Total,2011,UN_United Nations Population Division,Thousand,150494,
RUS,Russian Federation,Total,2011,UN_United Nations Population Division,Thousand,142836,
JPN,Japan,Total,2011,UN_United Nations Population Division,Thousand,126497,
MEX,Mexico,Total,2011,UN_United Nations Population Division,Thousand,114793,
PHL,Philippines,Total,2011,UN_United Nations Population Division,Thousand,94852,
VNM,Viet Nam,Total,2011,UN_United Nations Population Division,Thousand,88792,
ETH,Ethiopia,Total,2011,UN_United Nations Population Division,Thousand,84734,
EGY,Egypt,Total,2011,UN_United Nations Population Division,Thousand,82537,
DEU,Germany,Total,2011,UN_United Nations Population Division,Thousand,82163,
IRN,Iran (Islamic Republic of),Total,2011,UN_United Nations Population Division,Thousand,74799,
TUR,Turkey,Total,2011,UN_United Nations Population Division,Thousand,73640,
THA,Thailand,Total,2011,UN_United Nations Population Division,Thousand,69519,
:::Democratic Republic of the Congo,Democratic Republic of the Congo,Total,2011,UN_United Nations Population Division,Thousand,67758,
FRA,France,Total,2011,UN_United Nations Population Division,Thousand,63126,
GBR,United Kingdom,Total,2011,UN_United Nations Population Division,Thousand,62417,
ITA,Italy,Total,2011,UN_United Nations Population Division,Thousand,60789,
ZAF,South Africa,Total,2011,UN_United Nations Population Division,Thousand,50460,
KOR,Republic of Korea,Total,2011,UN_United Nations Population Division,Thousand,48391,
MMR,Myanmar,Total,2011,UN_United Nations Population Division,Thousand,48337,
COL,Colombia,Total,2011,UN_United Nations Population Division,Thousand,46927,
ESP,Spain,Total,2011,UN_United Nations Population Division,Thousand,46455,
TZA,United Republic of Tanzania,Total,2011,UN_United Nations Population Division,Thousand,46218,
UKR,Ukraine,Total,2011,UN_United Nations Population Division,Thousand,45190,
KEN,Kenya,Total,2011,UN_United Nations Population Division,Thousand,41610,
ARG,Argentina,Total,2011,UN_United Nations Population Division,Thousand,40765,
POL,Poland,Total,2011,UN_United Nations Population Division,Thousand,38299,
DZA,Algeria,Total,2011,UN_United Nations Population Division,Thousand,35980,
UGA,Uganda,Total,2011,UN_United Nations Population Division,Thousand,34509,
CAN,Canada,Total,2011,UN_United Nations Population Division,Thousand,34350,
SDN,Sudan,Total,2011,UN_United Nations Population Division,Thousand,34318,2
IRQ,Iraq,Total,2011,UN_United Nations Population Division,Thousand,32665,
AFG,Afghanistan,Total,2011,UN_United Nations Population Division,Thousand,32358,
MAR,Morocco,Total,2011,UN_United Nations Population Division,Thousand,32273,
NPL,Nepal,Total,2011,UN_United Nations Population Division,Thousand,30486,
:::Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Total,2011,UN_United Nations Population Division,Thousand,29437,
PER,Peru,Total,2011,UN_United Nations Population Division,Thousand,29400,
MYS,Malaysia,Total,2011,UN_United Nations Population Division,Thousand,28859,
SAU,Saudi Arabia,Total,2011,UN_United Nations Population Division,Thousand,28083,
UZB,Uzbekistan,Total,2011,UN_United Nations Population Division,Thousand,27760,
GHA,Ghana,Total,2011,UN_United Nations Population Division,Thousand,24966,
YEM,Yemen,Total,2011,UN_United Nations Population Division,Thousand,24800,
:::Democratic People's Republic of Korea,Democratic People's Republic of Korea,Total,2011,UN_United Nations Population Division,Thousand,24451,
MOZ,Mozambique,Total,2011,UN_United Nations Population Division,Thousand,23930,
AUS,Australia,Total,2011,UN_United Nations Population Division,Thousand,22606,
ROU,Romania,Total,2011,UN_United Nations Population Division,Thousand,21436,
MDG,Madagascar,Total,2011,UN_United Nations Population Division,Thousand,21315,
LKA,Sri Lanka,Total,2011,UN_United Nations Population Division,Thousand,21045,
SYR,Syrian Arab Republic,Total,2011,UN_United Nations Population Division,Thousand,20766,
CIV,C??te d'Ivoire,Total,2011,UN_United Nations Population Division,Thousand,20153,
CMR,Cameroon,Total,2011,UN_United Nations Population Division,Thousand,20030,
AGO,Angola,Total,2011,UN_United Nations Population Division,Thousand,19618,
CHL,Chile,Total,2011,UN_United Nations Population Division,Thousand,17270,
BFA,Burkina Faso,Total,2011,UN_United Nations Population Division,Thousand,16968,
NLD,Netherlands,Total,2011,UN_United Nations Population Division,Thousand,16665,
KAZ,Kazakhstan,Total,2011,UN_United Nations Population Division,Thousand,16207,
NER,Niger,Total,2011,UN_United Nations Population Division,Thousand,16069,
MLI,Mali,Total,2011,UN_United Nations Population Division,Thousand,15840,
MWI,Malawi,Total,2011,UN_United Nations Population Division,Thousand,15381,
GTM,Guatemala,Total,2011,UN_United Nations Population Division,Thousand,14757,
ECU,Ecuador,Total,2011,UN_United Nations Population Division,Thousand,14666,
KHM,Cambodia,Total,2011,UN_United Nations Population Division,Thousand,14305,
RNR,Zambia,Total,2011,UN_United Nations Population Division,Thousand,13475,
SEN,Senegal,Total,2011,UN_United Nations Population Division,Thousand,12768,
ZWE,Zimbabwe,Total,2011,UN_United Nations Population Division,Thousand,12754,
TCD,Chad,Total,2011,UN_United Nations Population Division,Thousand,11525,
GRC,Greece,Total,2011,UN_United Nations Population Division,Thousand,11390,
CUB,Cuba,Total,2011,UN_United Nations Population Division,Thousand,11254,
RWA,Rwanda,Total,2011,UN_United Nations Population Division,Thousand,10943,
BEL,Belgium,Total,2011,UN_United Nations Population Division,Thousand,10754,
PRT,Portugal,Total,2011,UN_United Nations Population Division,Thousand,10690,
TUN,Tunisia,Total,2011,UN_United Nations Population Division,Thousand,10594,
CZE,Czech Republic,Total,2011,UN_United Nations Population Division,Thousand,10534,
SDN,South Sudan,Total,2011,UN_United Nations Population Division,Thousand,10314,2
GIN,Guinea,Total,2011,UN_United Nations Population Division,Thousand,10222,
HTI,Haiti,Total,2011,UN_United Nations Population Division,Thousand,10124,
BOL,Bolivia (Plurinational State of),Total,2011,UN_United Nations Population Division,Thousand,10088,
DOM,Dominican Republic,Total,2011,UN_United Nations Population Division,Thousand,10056,
HUN,Hungary,Total,2011,UN_United Nations Population Division,Thousand,9966,
SRB,Serbia,Total,2011,UN_United Nations Population Division,Thousand,9854,
BLR,Belarus,Total,2011,UN_United Nations Population Division,Thousand,9559,
SOM,Somalia,Total,2011,UN_United Nations Population Division,Thousand,9557,
SWE,Sweden,Total,2011,UN_United Nations Population Division,Thousand,9441,
AZE,Azerbaijan,Total,2011,UN_United Nations Population Division,Thousand,9306,
BEN,Benin,Total,2011,UN_United Nations Population Division,Thousand,9100,
BDI,Burundi,Total,2011,UN_United Nations Population Division,Thousand,8575,
AUT,Austria,Total,2011,UN_United Nations Population Division,Thousand,8413,
ARE,United Arab Emirates,Total,2011,UN_United Nations Population Division,Thousand,7891,
HND,Honduras,Total,2011,UN_United Nations Population Division,Thousand,7755,
CHE,Switzerland,Total,2011,UN_United Nations Population Division,Thousand,7702,
ISR,Israel,Total,2011,UN_United Nations Population Division,Thousand,7562,
BGR,Bulgaria,Total,2011,UN_United Nations Population Division,Thousand,7446,
PNG,Papua New Guinea,Total,2011,UN_United Nations Population Division,Thousand,7014,
TJK,Tajikistan,Total,2011,UN_United Nations Population Division,Thousand,6977,
PRY,Paraguay,Total,2011,UN_United Nations Population Division,Thousand,6568,
LBY,Libya,Total,2011,UN_United Nations Population Division,Thousand,6423,
JOR,Jordan,Total,2011,UN_United Nations Population Division,Thousand,6330,
LAO,Lao People's Democratic Republic,Total,2011,UN_United Nations Population Division,Thousand,6288,
SLV,El Salvador,Total,2011,UN_United Nations Population Division,Thousand,6227,
TGO,Togo,Total,2011,UN_United Nations Population Division,Thousand,6155,
SLE,Sierra Leone,Total,2011,UN_United Nations Population Division,Thousand,5997,
NIC,Nicaragua,Total,2011,UN_United Nations Population Division,Thousand,5870,
DNK,Denmark,Total,2011,UN_United Nations Population Division,Thousand,5573,
SVK,Slovakia,Total,2011,UN_United Nations Population Division,Thousand,5472,
ERI,Eritrea,Total,2011,UN_United Nations Population Division,Thousand,5415,
KGZ,Kyrgyzstan,Total,2011,UN_United Nations Population Division,Thousand,5393,
FIN,Finland,Total,2011,UN_United Nations Population Division,Thousand,5385,
SGP,Singapore,Total,2011,UN_United Nations Population Division,Thousand,5188,
TKM,Turkmenistan,Total,2011,UN_United Nations Population Division,Thousand,5105,
NOR,Norway,Total,2011,UN_United Nations Population Division,Thousand,4925,
CRI,Costa Rica,Total,2011,UN_United Nations Population Division,Thousand,4727,
IRL,Ireland,Total,2011,UN_United Nations Population Division,Thousand,4526,
CAF,Central African Republic,Total,2011,UN_United Nations Population Division,Thousand,4487,
NZL,New Zealand,Total,2011,UN_United Nations Population Division,Thousand,4415,
HRV,Croatia,Total,2011,UN_United Nations Population Division,Thousand,4396,
GEO,Georgia,Total,2011,UN_United Nations Population Division,Thousand,4329,
LBN,Lebanon,Total,2011,UN_United Nations Population Division,Thousand,4259,
PSE,State of Palestine,Total,2011,UN_United Nations Population Division,Thousand,4152,
COD,Congo,Total,2011,UN_United Nations Population Division,Thousand,4140,
LBR,Liberia,Total,2011,UN_United Nations Population Division,Thousand,4129,
BIH,Bosnia and Herzegovina,Total,2011,UN_United Nations Population Division,Thousand,3752,
PAN,Panama,Total,2011,UN_United Nations Population Division,Thousand,3571,
MDA,Republic of Moldova,Total,2011,UN_United Nations Population Division,Thousand,3545,
MRT,Mauritania,Total,2011,UN_United Nations Population Division,Thousand,3542,
URY,Uruguay,Total,2011,UN_United Nations Population Division,Thousand,3380,
LTU,Lithuania,Total,2011,UN_United Nations Population Division,Thousand,3307,
ALB,Albania,Total,2011,UN_United Nations Population Division,Thousand,3216,
ARM,Armenia,Total,2011,UN_United Nations Population Division,Thousand,3100,
OMN,Oman,Total,2011,UN_United Nations Population Division,Thousand,2846,
KWT,Kuwait,Total,2011,UN_United Nations Population Division,Thousand,2818,
MNG,Mongolia,Total,2011,UN_United Nations Population Division,Thousand,2800,
JAM,Jamaica,Total,2011,UN_United Nations Population Division,Thousand,2751,
NAM,Namibia,Total,2011,UN_United Nations Population Division,Thousand,2324,
LVA,Latvia,Total,2011,UN_United Nations Population Division,Thousand,2243,
LSO,Lesotho,Total,2011,UN_United Nations Population Division,Thousand,2194,
MKD,The former Yugoslav Republic of Macedonia,Total,2011,UN_United Nations Population Division,Thousand,2064,
SVN,Slovenia,Total,2011,UN_United Nations Population Division,Thousand,2035,
BWA,Botswana,Total,2011,UN_United Nations Population Division,Thousand,2031,
QAT,Qatar,Total,2011,UN_United Nations Population Division,Thousand,1870,
GMB,Gambia,Total,2011,UN_United Nations Population Division,Thousand,1776,
,Guinea-Bissau,Total,2011,UN_United Nations Population Division,Thousand,1547,
GAB,Gabon,Total,2011,UN_United Nations Population Division,Thousand,1534,
TTO,Trinidad and Tobago,Total,2011,UN_United Nations Population Division,Thousand,1346,
EST,Estonia,Total,2011,UN_United Nations Population Division,Thousand,1341,
BHR,Bahrain,Total,2011,UN_United Nations Population Division,Thousand,1324,
MUS,Mauritius,Total,2011,UN_United Nations Population Division,Thousand,1307,
SWZ,Swaziland,Total,2011,UN_United Nations Population Division,Thousand,1203,
,Timor-Leste,Total,2011,UN_United Nations Population Division,Thousand,1154,
CYP,Cyprus,Total,2011,UN_United Nations Population Division,Thousand,1117,
DJI,Djibouti,Total,2011,UN_United Nations Population Division,Thousand,906,
FJI,Fiji,Total,2011,UN_United Nations Population Division,Thousand,868,
GUY,Guyana,Total,2011,UN_United Nations Population Division,Thousand,756,
,Comoros,Total,2011,UN_United Nations Population Division,Thousand,754,
BTN,Bhutan,Total,2011,UN_United Nations Population Division,Thousand,738,
,Equatorial Guinea,Total,2011,UN_United Nations Population Division,Thousand,720,
MNE,Montenegro,Total,2011,UN_United Nations Population Division,Thousand,632,
,Solomon Islands,Total,2011,UN_United Nations Population Division,Thousand,552,
SUR,Suriname,Total,2011,UN_United Nations Population Division,Thousand,529,
LUX,Luxembourg,Total,2011,UN_United Nations Population Division,Thousand,516,
CPV,Cape Verde,Total,2011,UN_United Nations Population Division,Thousand,501,
MLT,Malta,Total,2011,UN_United Nations Population Division,Thousand,418,
,Brunei Darussalam,Total,2011,UN_United Nations Population Division,Thousand,406,
BHS,Bahamas,Total,2011,UN_United Nations Population Division,Thousand,347,
ISL,Iceland,Total,2011,UN_United Nations Population Division,Thousand,324,
MDV,Maldives,Total,2011,UN_United Nations Population Division,Thousand,320,
,Belize,Total,2011,UN_United Nations Population Division,Thousand,318,
,Barbados,Total,2011,UN_United Nations Population Division,Thousand,274,
,Vanuatu,Total,2011,UN_United Nations Population Division,Thousand,246,
,Samoa,Total,2011,UN_United Nations Population Division,Thousand,184,
,Saint Lucia,Total,2011,UN_United Nations Population Division,Thousand,176,
,Sao Tome and Principe,Total,2011,UN_United Nations Population Division,Thousand,169,
,Micronesia (Federated States of),Total,2011,UN_United Nations Population Division,Thousand,112,
,Saint Vincent and the Grenadines,Total,2011,UN_United Nations Population Division,Thousand,109,
,Grenada,Total,2011,UN_United Nations Population Division,Thousand,105,
,Tonga,Total,2011,UN_United Nations Population Division,Thousand,105,
,Kiribati,Total,2011,UN_United Nations Population Division,Thousand,101,
,Antigua and Barbuda,Total,2011,UN_United Nations Population Division,Thousand,90,
,Seychelles,Total,2011,UN_United Nations Population Division,Thousand,87,
,Andorra,Total,2011,UN_United Nations Population Division,Thousand,86,
,Dominica,Total,2011,UN_United Nations Population Division,Thousand,68,
,Marshall Islands,Total,2011,UN_United Nations Population Division,Thousand,55,
,Saint Kitts and Nevis,Total,2011,UN_United Nations Population Division,Thousand,53,
,Liechtenstein,Total,2011,UN_United Nations Population Division,Thousand,36,
,Monaco,Total,2011,UN_United Nations Population Division,Thousand,35,
,San Marino,Total,2011,UN_United Nations Population Division,Thousand,32,
,Palau,Total,2011,UN_United Nations Population Division,Thousand,21,
,Cook Islands,Total,2011,UN_United Nations Population Division,Thousand,20,
,Nauru,Total,2011,UN_United Nations Population Division,Thousand,10,
,Tuvalu,Total,2011,UN_United Nations Population Division,Thousand,10,
,Niue,Total,2011,UN_United Nations Population Division,Thousand,1,
,Holy See,Total,2011,UN_United Nations Population Division,Thousand,0,
